"","Name","Genre","Platform","Total_Sales","NA_Sales","JP_Sales","PAL_Sales","Other_Sales","Year"
"1085","Fur Fighters: Viggo's Revenge","Action","PS2",0.14,0.07,0,0.05,0.02,2001
"1086","Space Venus starring Morning Musume","Misc","PS2",0.14,0,0.14,0,0,2001
"1087","Vampire Night","Shooter","PS2",0.14,0.07,0,0.05,0.02,2001
"1088","Transworld Surf","Sports","XB",0.13,0.1,0,0.03,0,2001
"1089","Army Men: Green Rogue","Shooter","PS2",0.13,0.06,0,0.05,0.02,2001
"1090","Winning Post 5","Sports","PS2",0.13,0,0.13,0,0,2001
"1091","MX 2002 Featuring Ricky Carmichael","Racing","XB",0.13,0.1,0,0.03,0,2001
"1092","LEGO Racers 2","Racing","PS2",0.13,0.06,0,0.05,0.02,2001
"1093","Portal Runner","Platform","PS2",0.13,0.06,0,0.05,0.02,2001
"1094","City Crisis","Simulation","PS2",0.13,0.06,0,0.05,0.02,2001
"1095","Cel Damage","Racing","XB",0.12,0.09,0,0.03,0,2001
"1096","Jikkyou Powerful Pro Yakyuu 8 Ketteiban","Sports","PS2",0.12,0,0.12,0,0,2001
"1097","Ring of Red","Strategy","PS2",0.11,0.06,0,0.04,0.01,2001
"1098","Escape From Monkey Island","Adventure","PS2",0.1,0.05,0,0.04,0.01,2001
"1099","Dark Summit","Sports","XB",0.1,0.08,0,0.02,0,2001
"1100","Jade Cocoon 2","Role-Playing","PS2",0.1,0.05,0,0.04,0.01,2001
"1101","Lilie no Atelier: Salburg no Renkinjutsushi 3","Role-Playing","PS2",0.09,0,0.09,0,0,2001
"1102","Ephemeral Fantasia","Role-Playing","PS2",0.08,0.04,0,0.03,0.01,2001
"1103","ESPN NFL PrimeTime 2002","Sports","PS2",0.08,0.04,0,0.03,0.01,2001
"1104","The Legend of Alon D'ar","Role-Playing","PS2",0.08,0.04,0,0.03,0.01,2001
"1105","Pilot ni Narou! 2","Simulation","PS2",0.08,0,0.08,0,0,2001
"1106","Gadget Racers","Racing","PS2",0.08,0.04,0,0.03,0.01,2001
"1107","ESPN National Hockey Night","Sports","PS2",0.07,0.03,0,0.03,0.01,2001
"1108","Silpheed: The Lost Planet","Shooter","PS2",0.07,0.03,0,0.03,0.01,2001
"1109","Gambler Densetsu Tetsuya","Adventure","PS2",0.07,0,0.07,0,0,2001
"1110","Kabuki Warriors","Action","XB",0.06,0.05,0,0.01,0,2001
"1111","F1 2001","Racing","XB",0.06,0.05,0,0.01,0,2001
"1112","Densha De Go! 3 Tsuukinhen","Simulation","PS2",0.06,0,0.06,0,0,2001
"1113","Giants: Citizen Kabuto","Shooter","PS2",0.06,0.03,0,0.02,0.01,2001
"1114","Kikou Heidan J-Phoenix","Action","PS2",0.06,0,0.06,0,0,2001
"1115","Dragon Rage","Shooter","PS2",0.06,0.03,0,0.02,0.01,2001
"1116","Harry Potter and the Sorcerer's Stone","Action","PC",0.06,0.01,0,0.04,0.01,2001
"1117","Yanya Caballista: City Skater","Sports","PS2",0.05,0.02,0,0.02,0.01,2001
"1118","Stretch Panic","Platform","PS2",0.05,0.02,0,0.02,0.01,2001
"1119","BeatMania IIDX 4th Style: New Songs Collection","Simulation","PS2",0.05,0,0.05,0,0,2001
"1120","Stunt GP","Racing","PS2",0.05,0.02,0,0.02,0.01,2001
"1121","Rimo-Cocoron","Action","PS2",0.05,0,0.05,0,0,2001
"1122","Microsoft Train Simulator","Simulation","PC",0.04,0,0,0.04,0,2001
"1123","True Love Story 3","Simulation","PS2",0.04,0,0.04,0,0,2001
"1124","Black & White","Strategy","PC",0.04,0,0,0.04,0,2001
"1125","Zoo Tycoon","Strategy","PC",0.03,0,0,0.03,0,2001
"1126","Sunny Garcia Surfing","Sports","PS2",0.03,0.02,0,0.01,0,2001
"1127","ParaParaParadise","Misc","PS2",0.03,0,0.03,0,0,2001
"1128","A Ressha de Gyoukou 2001","Simulation","PS2",0.03,0,0.03,0,0,2001
"1129","Lunatic Dawn Tempest","Role-Playing","PS2",0.02,0,0.02,0,0,2001
"1130","The Settlers IV","Strategy","PC",0.02,0,0,0.02,0,2001
"1131","Max Payne","Shooter","PC",0.02,0,0,0.02,0,2001
"1132","IL-2 Sturmovik","Simulation","PC",0.01,0,0,0.01,0,2001
"1133","Monopoly Tycoon","Simulation","PC",0.01,0,0,0.01,0,2001
"1134","Grand Theft Auto: Vice City","Action","PS2",16.15,8.41,0.47,5.49,1.78,2002
"1135","The Lord of the Rings: The Two Towers","Action","PS2",4.67,1.94,0.08,1.95,0.7,2002
"1136","Spider-Man: The Movie","Action","PS2",4.48,2.71,0.03,1.51,0.23,2002
"1137","Madden NFL 2003","Sports","PS2",4.14,3.36,0.01,0.21,0.56,2002
"1138","The Sims: Unleashed","Simulation","PC",3.76,2.03,0,1.56,0.17,2002
"1139","Tony Hawk's Pro Skater 4","Sports","PS2",3.67,2.13,0.01,1.18,0.35,2002
"1140","Tekken 4","Fighting","PS2",3.44,1.55,0.33,1.27,0.29,2002
"1141","FIFA Soccer 2003","Sports","PS2",3.4,0.46,0.05,2.28,0.61,2002
"1142","The Sims: Vacation","Simulation","PC",3.07,1.72,0,1.21,0.14,2002
"1143","Tom Clancy's Splinter Cell","Action","XB",3.02,1.85,0,1.04,0.13,2002
"1144","Hitman 2: Silent Assassin","Action","PS2",2.96,1.36,0.04,1.15,0.41,2002
"1145","Hot Shots Golf 3","Sports","PS2",2.89,0.99,1.38,0.32,0.2,2002
"1146","The Elder Scrolls III: Morrowind","Role-Playing","XB",2.86,2.09,0.03,0.63,0.11,2002
"1147","ATV Offroad Fury 2","Racing","PS2",2.18,1.92,0,0.2,0.06,2002
"1148","Spyro: Enter the Dragonfly","Platform","PS2",1.97,0.74,0,0.95,0.28,2002
"1149","Tom Clancy's Ghost Recon","Shooter","PS2",1.94,1.42,0,0.4,0.12,2002
"1150","Tom Clancy's Ghost Recon","Shooter","XB",1.76,1.23,0,0.46,0.07,2002
"1151","Tiger Woods PGA Tour 2003","Sports","PS2",1.64,0.8,0,0.63,0.21,2002
"1152","Conflict: Desert Storm","Shooter","PS2",1.57,0.98,0,0.53,0.06,2002
"1153","Stuntman","Racing","PS2",1.55,0.76,0,0.59,0.2,2002
"1154","Red Faction II","Shooter","PS2",1.5,0.49,0,0.78,0.23,2002
"1155","Medal of Honor: Frontline","Shooter","XB",1.49,1,0,0.43,0.06,2002
"1156","Cabela's Big Game Hunter","Sports","PS2",1.42,0.7,0,0.54,0.18,2002
"1157","Spider-Man: The Movie","Action","XB",1.4,1.07,0,0.28,0.05,2002
"1158","Dead to Rights","Shooter","PS2",1.36,0.67,0,0.52,0.17,2002
"1159","NFL 2K3","Sports","PS2",1.32,1.06,0,0.08,0.18,2002
"1160","IHRA Drag Racing 2","Racing","PS2",1.31,0.64,0,0.5,0.17,2002
"1161","Turok: Evolution","Shooter","PS2",1.31,0.64,0,0.5,0.17,2002
"1162","RollerCoaster Tycoon 2","Strategy","PC",1.25,1.19,0,0.06,0,2002
"1163","Crash Bandicoot: The Wrath of Cortex","Platform","XB",1.23,0.59,0,0.57,0.07,2002
"1164","NASCAR Thunder 2003","Racing","PS2",1.22,0.6,0,0.46,0.16,2002
"1165","Sly Cooper and the Thievius Raccoonus","Platform","PS2",1.21,1.03,0,0.14,0.04,2002
"1166","The Lord of the Rings: The Fellowship of the Ring","Action","PS2",1.2,0.59,0,0.46,0.15,2002
"1167","Hitman 2: Silent Assassin","Action","XB",1.19,0.76,0,0.38,0.05,2002
"1168","Ty the Tasmanian Tiger","Platform","PS2",1.17,0.57,0,0.45,0.15,2002
"1169","Star Wars: Bounty Hunter","Shooter","PS2",1.09,0.53,0,0.42,0.14,2002
"1170","SpongeBob SquarePants: Revenge of the Flying Dutchman","Platform","PS2",1.08,0.53,0,0.41,0.14,2002
"1171","Fisherman's Bass Club","Sports","PS2",1.08,0.53,0,0.41,0.14,2002
"1172","Seek and Destroy","Racing","PS2",1.06,0.52,0,0.4,0.14,2002
"1173","Suikoden III","Role-Playing","PS2",0.98,0.29,0.38,0.23,0.08,2002
"1174","Mortal Kombat: Deadly Alliance","Fighting","XB",0.96,0.77,0,0.15,0.04,2002
"1175","Tony Hawk's Pro Skater 4","Sports","XB",0.93,0.59,0,0.3,0.04,2002
"1176","James Bond 007: Agent Under Fire","Shooter","XB",0.9,0.65,0,0.22,0.03,2002
"1177","Conflict: Desert Storm","Shooter","XB",0.87,0.48,0,0.37,0.02,2002
"1178","Triple Play 2002","Sports","PS2",0.87,0.43,0,0.33,0.11,2002
"1179","Rocky","Fighting","PS2",0.86,0.42,0,0.33,0.11,2002
"1180","Burnout 2: Point of Impact","Racing","PS2",0.85,0.42,0,0.32,0.11,2002
"1181","Need for Speed: Hot Pursuit 2","Racing","XB",0.82,0.68,0,0.11,0.03,2002
"1182","Tales of Destiny 2","Role-Playing","PS2",0.8,0,0.8,0,0,2002
"1183","Maximo: Ghosts to Glory","Platform","PS2",0.77,0.38,0,0.29,0.1,2002
"1184","All-Star Baseball 2003","Sports","PS2",0.77,0.38,0,0.29,0.1,2002
"1185","Taiko no Tatsujin: Tatakon de Dodon ga Don","Misc","PS2",0.76,0,0.76,0,0,2002
"1186","Marvel vs. Capcom 2","Fighting","PS2",0.76,0.31,0.13,0.24,0.08,2002
"1187","Unreal Championship","Shooter","XB",0.74,0.59,0,0.12,0.03,2002
"1188","TimeSplitters 2","Shooter","PS2",0.7,0.34,0,0.27,0.09,2002
"1189","Monster Jam: Maximum Destruction","Racing","PS2",0.65,0.32,0,0.25,0.08,2002
"1190","Super Robot Taisen Impact","Strategy","PS2",0.65,0,0.65,0,0,2002
"1191","Wild ARMs 3","Role-Playing","PS2",0.62,0.16,0.29,0.13,0.04,2002
"1192","NFL Fever 2003","Sports","XB",0.61,0.46,0,0.13,0.02,2002
"1193","Robotech: Battlecry","Shooter","PS2",0.61,0.3,0,0.23,0.08,2002
"1194","Rayman Arena","Racing","PS2",0.6,0.29,0,0.23,0.08,2002
"1195","Jampack Summer 2002","Misc","PS2",0.57,0.28,0,0.22,0.07,2002
"1196","Wreckless: ThE YaKuza MisSiOns","Racing","XB",0.57,0.42,0.02,0.11,0.02,2002
"1197","SD Gundam G Generation Neo","Strategy","PS2",0.57,0,0.57,0,0,2002
"1198","RalliSport Challenge","Racing","XB",0.57,0.39,0,0.16,0.02,2002
"1199","Blinx: The Time Sweeper","Platform","XB",0.56,0.39,0,0.15,0.02,2002
"1200","WWF Raw (2002)","Fighting","XB",0.55,0.4,0,0.13,0.02,2002
"1201","Kingdom Hearts: Final Mix","Role-Playing","PS2",0.55,0,0.55,0,0,2002
"1202","Soccer Tsuku 2002: J-League Pro Soccer Club o Tsukurou!","Sports","PS2",0.55,0,0.55,0,0,2002
"1203","Turok: Evolution","Shooter","XB",0.55,0.39,0,0.14,0.02,2002
"1204","Dragon Quest Characters: Torneko no Daibouken 3: Fushigi no Dungeon","Role-Playing","PS2",0.54,0,0.54,0,0,2002
"1205","The Lord of the Rings: The Fellowship of the Ring","Action","XB",0.53,0.31,0,0.19,0.03,2002
"1206","NCAA Football 2003","Sports","XB",0.52,0.39,0,0.11,0.02,2002
"1207","Jampack Winter 2002","Misc","PS2",0.52,0.25,0,0.2,0.07,2002
"1208","Way of the Samurai","Action","PS2",0.51,0.13,0.25,0.1,0.03,2002
"1209","Activision Anthology","Misc","PS2",0.5,0.25,0,0.19,0.06,2002
"1210","Pac-Man World 2","Platform","XB",0.49,0.36,0,0.11,0.02,2002
"1211","X-Men: Next Dimension","Fighting","PS2",0.47,0.23,0,0.18,0.06,2002
"1212","Hot Wheels Velocity X","Racing","PS2",0.47,0.23,0,0.18,0.06,2002
"1213","Rygar: The Legendary Adventure","Action","PS2",0.46,0.2,0.06,0.15,0.05,2002
"1214","The Mark of Kri","Action","PS2",0.46,0.22,0,0.18,0.06,2002
"1215","Momotarou Dentetsu 11","Misc","PS2",0.46,0,0.46,0,0,2002
"1216","The Powerpuff Girls: Relish Rampage","Action","PS2",0.45,0.22,0,0.17,0.06,2002
"1217","Sled Storm","Racing","PS2",0.45,0.22,0,0.17,0.06,2002
"1218","Tiger Woods PGA Tour 2003","Sports","XB",0.44,0.35,0,0.08,0.01,2002
"1219","Jikkyou Powerful Pro Yakyuu 9","Sports","PS2",0.44,0,0.44,0,0,2002
"1220","NFL Blitz 20-03","Sports","PS2",0.44,0.21,0,0.17,0.06,2002
"1221","Star Wars: Jedi Starfighter","Simulation","XB",0.44,0.35,0,0.07,0.02,2002
"1222","Mobile Suit Gundam: Zeonic Front","Simulation","PS2",0.43,0.09,0.25,0.07,0.02,2002
"1223","Superman: Shadow of Apokolips","Action","PS2",0.42,0.21,0,0.16,0.05,2002
"1224","Test Drive","Racing","XB",0.42,0.35,0,0.05,0.02,2002
"1225","Jimmy Neutron: Boy Genius","Platform","PS2",0.41,0.2,0,0.16,0.05,2002
"1226","Boku no Natsuyasumi 2: Umi no Bouken Hen","Adventure","PS2",0.41,0,0.41,0,0,2002
"1227","The Terminator: Dawn of Fate","Action","PS2",0.41,0.2,0,0.16,0.05,2002
"1228","Defender","Shooter","PS2",0.4,0.2,0,0.15,0.05,2002
"1229","NFL GameDay 2003","Sports","PS2",0.4,0.2,0,0.15,0.05,2002
"1230","Mobile Suit Gundam: Lost War Chronicles","Shooter","PS2",0.39,0,0.39,0,0,2002
"1231","Blood Omen 2","Action","PS2",0.39,0.19,0,0.15,0.05,2002
"1232","Mobile Suit Gundam: Giren no Yabou Zeon Dokuritsu Sensouden","Strategy","PS2",0.38,0,0.38,0,0,2002
"1233","NBA Inside Drive 2002","Sports","XB",0.37,0.28,0,0.08,0.01,2002
"1234","High Heat Major League Baseball 2003","Sports","PS2",0.37,0.18,0,0.14,0.05,2002
"1235","NBA Live 2003","Sports","XB",0.36,0.31,0,0.04,0.01,2002
"1236","Kamaitachi no Yoru 2","Adventure","PS2",0.36,0,0.36,0,0,2002
"1237","Harry Potter and the Chamber of Secrets","Adventure","XB",0.36,0.27,0,0.08,0.01,2002
"1238","Disney's Treasure Planet","Action","PS2",0.33,0.16,0,0.13,0.04,2002
"1239","Kelly Slater's Pro Surfer","Sports","PS2",0.33,0.16,0,0.13,0.04,2002
"1240","Legends of Wrestling II","Fighting","PS2",0.33,0.16,0,0.13,0.04,2002
"1241","Ultimate Fighting Championship: Throwdown","Fighting","PS2",0.32,0.16,0,0.12,0.04,2002
"1242","NBA 2K3","Sports","XB",0.32,0.24,0,0.07,0.01,2002
"1243","Romance of the Three Kingdoms VII","Strategy","PS2",0.32,0.08,0.16,0.06,0.02,2002
"1244","NBA Inside Drive 2003","Sports","XB",0.31,0.23,0,0.07,0.01,2002
"1245","Star Wars Racer Revenge","Racing","PS2",0.31,0.15,0,0.12,0.04,2002
"1246","Blade II","Action","PS2",0.31,0.15,0,0.12,0.04,2002
"1247","Bruce Lee: Quest of the Dragon","Fighting","XB",0.31,0.23,0,0.07,0.01,2002
"1248","Disney's Stitch: Experiment 626","Action","PS2",0.31,0.15,0,0.12,0.04,2002
"1249","Hard Hitter Tennis","Sports","PS2",0.3,0.15,0,0.11,0.04,2002
"1250","Grandia II","Role-Playing","PS2",0.29,0.14,0,0.11,0.04,2002
"1251","Outlaw Golf","Sports","XB",0.29,0.22,0,0.06,0.01,2002
"1252","Shrek Super Party","Misc","PS2",0.29,0.14,0,0.11,0.04,2002
"1253","Dynasty Tactics","Strategy","PS2",0.29,0.06,0.16,0.05,0.02,2002
"1254","Street Hoops","Sports","XB",0.28,0.21,0,0.06,0.01,2002
"1255","Jissen Pachi-Slot Hisshouhou! Moujuu-Oh S","Misc","PS2",0.28,0,0.28,0,0,2002
"1256","NASCAR Thunder 2003","Racing","XB",0.27,0.2,0,0.06,0.01,2002
"1257","Knockout Kings 2002","Sports","XB",0.27,0.2,0,0.06,0.01,2002
"1258","Tom and Jerry in War of the Whiskers","Fighting","PS2",0.26,0.13,0,0.1,0.03,2002
"1259","Riding Spirits","Racing","PS2",0.26,0.13,0,0.1,0.03,2002
"1260","Evolution Skateboarding","Sports","PS2",0.26,0.13,0,0.1,0.03,2002
"1261","Legaia 2: Duel Saga","Role-Playing","PS2",0.26,0.13,0,0.1,0.03,2002
"1262","Drakan: The Ancients' Gates","Adventure","PS2",0.26,0.13,0,0.1,0.03,2002
"1263","All-Star Baseball 2003","Sports","XB",0.26,0.19,0,0.06,0.01,2002
"1264","Triple Play 2002","Sports","XB",0.25,0.19,0,0.05,0.01,2002
"1265","Exhibition","Misc","XB",0.25,0.19,0,0.05,0.01,2002
"1266","WipEout Fusion","Racing","PS2",0.25,0.12,0,0.1,0.03,2002
"1267","Netsu Chu! Pro Yakyuu 2002","Sports","PS2",0.25,0,0.25,0,0,2002
"1268","Britney's Dance Beat","Misc","PS2",0.24,0.12,0,0.09,0.03,2002
"1269","Genma Onimusha","Action","XB",0.24,0.14,0.05,0.04,0.01,2002
"1270","NCAA College Basketball 2K3","Sports","PS2",0.24,0.12,0,0.09,0.03,2002
"1271","Jet X20","Racing","PS2",0.23,0.11,0,0.09,0.03,2002
"1272","World Series Baseball","Sports","XB",0.23,0.17,0,0.05,0.01,2002
"1273","The Scorpion King: Rise of the Akkadian","Action","PS2",0.23,0.11,0,0.09,0.03,2002
"1274","NCAA GameBreaker 2003","Sports","PS2",0.23,0.11,0,0.09,0.03,2002
"1275","Tribes: Aerial Assault","Shooter","PS2",0.23,0.11,0,0.09,0.03,2002
"1276","Airblade","Sports","PS2",0.23,0.11,0,0.09,0.03,2002
"1277","NBA ShootOut 2003","Sports","PS2",0.23,0.11,0,0.09,0.03,2002
"1278","NHL FaceOff 2003","Sports","PS2",0.23,0.11,0,0.09,0.03,2002
"1279","Mary-Kate and Ashley: Sweet 16 - Licenced to Drive","Misc","PS2",0.22,0.11,0,0.08,0.03,2002
"1280","Nickelodeon Party Blast","Misc","XB",0.22,0.16,0,0.05,0.01,2002
"1281","Lethal Skies Elite Pilot: Team SW","Simulation","PS2",0.22,0.11,0,0.08,0.03,2002
"1282","Wreckless: ThE YaKuza MisSiOns","Racing","PS2",0.22,0.11,0,0.08,0.03,2002
"1283","Herdy Gerdy","Adventure","PS2",0.22,0.11,0,0.08,0.03,2002
"1284","Yu Yu Hakusho: Dark Tournament","Fighting","PS2",0.21,0.1,0,0.08,0.03,2002
"1285","Conflict Zone","Strategy","PS2",0.21,0.1,0,0.08,0.03,2002
"1286","Summoner 2","Role-Playing","PS2",0.21,0.1,0,0.08,0.03,2002
"1287","Deus Ex: The Conspiracy","Action","PS2",0.21,0.1,0,0.08,0.03,2002
"1288","JSRF: Jet Set Radio Future","Action","XB",0.21,0.13,0.03,0.04,0.01,2002
"1289","NHL 2K3","Sports","PS2",0.21,0.1,0,0.08,0.03,2002
"1290","MLB SlugFest 20-03","Sports","XB",0.2,0.15,0,0.04,0.01,2002
"1291","NBA 2K2","Sports","XB",0.2,0.15,0,0.04,0.01,2002
"1292","Jissen Pachi-Slot Hisshouhou! Aladdin A","Misc","PS2",0.2,0,0.2,0,0,2002
"1293","Mat Hoffman's Pro BMX 2","Sports","XB",0.2,0.15,0,0.04,0.01,2002
"1294","The Thing","Adventure","XB",0.2,0.15,0,0.04,0.01,2002
"1295","Baldur's Gate: Dark Alliance","Role-Playing","XB",0.2,0.15,0,0.04,0.01,2002
"1296","UFC: Tapout","Fighting","XB",0.2,0.14,0,0.05,0.01,2002
"1297","2002 FIFA World Cup","Sports","XB",0.19,0.14,0,0.04,0.01,2002
"1298","Sega GT 2002","Racing","XB",0.19,0.12,0.03,0.03,0.01,2002
"1299","Blood Omen 2","Action","XB",0.19,0.14,0,0.04,0.01,2002
"1300","Commandos 2: Men of Courage","Strategy","PS2",0.18,0.09,0,0.07,0.02,2002
"1301","Fireblade","Simulation","PS2",0.18,0.09,0,0.07,0.02,2002
"1302","NFL 2K2","Sports","XB",0.18,0.13,0,0.04,0.01,2002
"1303","NBA Starting Five","Sports","PS2",0.18,0.09,0,0.07,0.02,2002
"1304","Smash Court Tennis Pro Tournament","Sports","PS2",0.17,0.08,0,0.07,0.02,2002
"1305","James Cameron's Dark Angel","Action","PS2",0.17,0.08,0,0.07,0.02,2002
"1306","Disney Golf","Sports","PS2",0.17,0.07,0.02,0.06,0.02,2002
"1307","Taz Wanted","Platform","PS2",0.16,0.08,0,0.06,0.02,2002
"1308","PoPoLoCrois: Hajimari no Bouken","Role-Playing","PS2",0.16,0,0.16,0,0,2002
"1309","Zapper: One Wicked Cricket!","Platform","PS2",0.16,0.08,0,0.06,0.02,2002
"1310","Dr. Muto","Platform","PS2",0.16,0.08,0,0.06,0.02,2002
"1311","Shadow Man: 2econd Coming","Adventure","PS2",0.16,0.08,0,0.06,0.02,2002
"1312","Silent Scope 3","Shooter","PS2",0.16,0.08,0,0.06,0.02,2002
"1313","The Terminator: Dawn of Fate","Action","XB",0.15,0.11,0,0.03,0.01,2002
"1314","Serious Sam","Shooter","XB",0.15,0.11,0,0.03,0.01,2002
"1315","Rocky","Fighting","XB",0.15,0.11,0,0.03,0.01,2002
"1316","MotoGP 2: Ultimate Racing Technology","Racing","PS2",0.15,0.07,0,0.06,0.02,2002
"1317","BMX XXX","Sports","PS2",0.15,0.07,0,0.06,0.02,2002
"1318","PaRappa The Rapper 2","Misc","PS2",0.14,0.07,0,0.05,0.02,2002
"1319","Pirates: The Legend of Black Kat","Adventure","PS2",0.14,0.07,0,0.05,0.02,2002
"1320","The Operative: No One Lives Forever","Shooter","PS2",0.14,0.07,0,0.05,0.02,2002
"1321","Ecco the Dolphin: Defender of the Future","Adventure","PS2",0.14,0.07,0,0.05,0.02,2002
"1322","World Tour Soccer 2002","Sports","PS2",0.14,0.07,0,0.05,0.02,2002
"1323","Salt Lake 2002","Sports","PS2",0.14,0.07,0,0.05,0.02,2002
"1324","Blade II","Action","XB",0.13,0.1,0,0.03,0,2002
"1325","Superman: The Man of Steel","Action","XB",0.13,0.1,0,0.03,0,2002
"1326","Shrek Super Party","Misc","XB",0.13,0.1,0,0.03,0,2002
"1327","Rally Fusion: Race of Champions","Racing","PS2",0.13,0.06,0,0.05,0.02,2002
"1328","NightCaster","Action","XB",0.13,0.1,0,0.03,0,2002
"1329","Nobunaga no Yabou: Ranseiki","Strategy","PS2",0.13,0,0.13,0,0,2002
"1330","Drome Racers","Racing","PS2",0.13,0.06,0,0.05,0.02,2002
"1331","Chase: Hollywood Stunt Driver","Racing","XB",0.12,0.09,0,0.03,0,2002
"1332","King of Colosseum (Red): Shin Nippon x Zen Nippon x Pancrase Disc","Fighting","PS2",0.12,0,0.12,0,0,2002
"1333","F1 2002","Racing","PS2",0.12,0.05,0.02,0.04,0.01,2002
"1334","SplashDown","Racing","XB",0.11,0.09,0,0.02,0,2002
"1335","ToeJam & Earl III: Mission to Earth","Action","XB",0.11,0.09,0,0.02,0,2002
"1336","Gravity Games Bike: Street Vert Dirt","Sports","PS2",0.1,0.05,0,0.04,0.01,2002
"1337","Dropship: United Peace Force","Simulation","PS2",0.1,0.05,0,0.04,0.01,2002
"1338","Eve Of Extinction","Fighting","PS2",0.1,0.04,0.02,0.03,0.01,2002
"1339","RLH: Run Like Hell","Shooter","PS2",0.1,0.05,0,0.04,0.01,2002
"1340","Kelly Slater's Pro Surfer","Sports","XB",0.1,0.08,0,0.02,0,2002
"1341","King's Field: The Ancient City","Role-Playing","PS2",0.1,0.05,0,0.04,0.01,2002
"1342","Project FIFA World Cup","Sports","PS2",0.1,0,0.1,0,0,2002
"1343","Global Touring Challenge: Africa","Racing","PS2",0.1,0.05,0,0.04,0.01,2002
"1344","Whacked!","Party","XB",0.09,0.07,0,0.02,0,2002
"1345","NFL Blitz 20-02","Sports","XB",0.09,0.07,0,0.02,0,2002
"1346","Forever Kingdom","Role-Playing","PS2",0.09,0.02,0.04,0.02,0.01,2002
"1347","MotoGP","Racing","XB",0.09,0.07,0,0.02,0,2002
"1348","New Legends","Action","XB",0.09,0.07,0,0.02,0,2002
"1349","Demon Chaos","Action","PS2",0.09,0,0.09,0,0,2002
"1350","Jikkyou Powerful Pro Yakyuu 9 Ketteiban","Sports","PS2",0.09,0,0.09,0,0,2002
"1351","Defender","Shooter","XB",0.09,0.07,0,0.02,0,2002
"1352","Transworld Snowboarding","Sports","XB",0.09,0.07,0,0.02,0,2002
"1353","Crimson Sea","Action","XB",0.09,0.04,0.04,0.01,0,2002
"1354","Million God","Misc","PS2",0.09,0,0.09,0,0,2002
"1355","Prisoner of War","Adventure","XB",0.08,0.06,0,0.02,0,2002
"1356","Tokimeki Memorial: Girl's Side","Adventure","PS2",0.08,0,0.08,0,0,2002
"1357","LEGO Soccer Mania","Sports","PS2",0.08,0.04,0,0.03,0.01,2002
"1358","Hidden Invasion","Shooter","PS2",0.08,0.04,0,0.03,0.01,2002
"1359","Fireblade","Simulation","XB",0.08,0.06,0,0.02,0,2002
"1360","Sub Rebellion","Simulation","PS2",0.08,0.04,0,0.03,0.01,2002
"1361","Endgame","Shooter","PS2",0.08,0.04,0,0.03,0.01,2002
"1362","Frogger Beyond","Platform","XB",0.08,0.06,0,0.02,0,2002
"1363","Dynasty Warriors 3","Action","XB",0.08,0.06,0,0.02,0,2002
"1364","Commandos 2: Men of Courage","Strategy","XB",0.07,0.05,0,0.02,0,2002
"1365","Circus Maximus: Chariot Wars","Racing","XB",0.07,0.05,0,0.02,0,2002
"1366","James Cameron's Dark Angel","Action","XB",0.07,0.05,0,0.02,0,2002
"1367","Loons: The Fight For Fame","Action","XB",0.07,0.05,0,0.02,0,2002
"1368","Totaled!","Racing","XB",0.07,0.05,0,0.02,0,2002
"1369","Taz Wanted","Platform","XB",0.07,0.05,0,0.02,0,2002
"1370","Robot Alchemic Drive","Action","PS2",0.07,0.03,0,0.03,0.01,2002
"1371","Fighter Maker 2","Fighting","PS2",0.07,0.03,0,0.03,0.01,2002
"1372","Judie no Atelier: Guramnat no Renkinjutsushi","Role-Playing","PS2",0.07,0,0.07,0,0,2002
"1373","Nichibeikan Pro Yakyuu: Final League","Sports","PS2",0.07,0,0.07,0,0,2002
"1374","RedCard 20-03","Sports","PS2",0.07,0.03,0,0.03,0.01,2002
"1375","Pirates: The Legend of Black Kat","Adventure","XB",0.06,0.05,0,0.01,0,2002
"1376","Aggressive Inline","Sports","XB",0.06,0.05,0,0.01,0,2002
"1377","Deathrow: Underground Team Combat","Sports","XB",0.06,0.05,0,0.01,0,2002
"1378","Mystic Heroes","Action","PS2",0.06,0.03,0,0.02,0.01,2002
"1379","Mad Maestro!","Misc","PS2",0.06,0.03,0,0.02,0.01,2002
"1380","The Document of Metal Gear Solid 2","Misc","PS2",0.06,0.03,0,0.02,0.01,2002
"1381","Eikan wa Kimini 2002: Koshien no Kodou","Sports","PS2",0.06,0,0.06,0,0,2002
"1382","ESPN International Winter Sports 2002","Sports","PS2",0.06,0.03,0,0.02,0.01,2002
"1383","V-Rally 3","Racing","PS2",0.06,0.03,0,0.02,0.01,2002
"1384","Sega Soccer Slam","Sports","XB",0.05,0.04,0,0.01,0,2002
"1385","Zapper: One Wicked Cricket!","Platform","XB",0.05,0.04,0,0.01,0,2002
"1386","Dragon's Lair 3D: Return to the Lair","Platform","XB",0.05,0.04,0,0.01,0,2002
"1387","Rally Fusion: Race of Champions","Racing","XB",0.05,0.04,0,0.01,0,2002
"1388","Phantom Crash","Simulation","XB",0.05,0.03,0.01,0.01,0,2002
"1389","Woody Woodpecker: Escape from Buzz Buzzard Park","Platform","PS2",0.05,0.02,0,0.02,0.01,2002
"1390","Next Generation of Chaos","Role-Playing","PS2",0.05,0,0.05,0,0,2002
"1391","Kakuto Chojin","Fighting","XB",0.05,0.04,0,0.01,0,2002
"1392","Shin Megami Tensei NINE","Role-Playing","XB",0.05,0,0.05,0,0,2002
